name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Abulón fresco,,105,17,6,0.75,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:4
Aceite,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:4
Aceite comestible,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:5
Aceite de aguacate,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:6
Aceite de ajonjolí,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:7
Aceite de almendra,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:9
Aceite de cacao,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:11
Aceite de cachuate,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:10
Aceite de canola,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:12
Aceite de cártamo,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:13
Aceite de coco,,860,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:14
Aceite de girasol,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:15
Aceite de girasol 60% con ácido linoleico,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:16
Aceite de girasol 70% con ácido aleico,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:17
Aceite de hígado de bacalao,,900,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:18
Aceite de maíz,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:19
Aceite de oliva,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:20
Aceite de oliva extra virgen,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:21
Aceite de olivo,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:22
Aceite de palma,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:23
Aceite de soya,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:24
Aceite de soya y algodón,,880,0,0,100,0,0,cucharadita,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:25
Aceite en spray,,880,0,0,100,0,0,disp.de un segundo,1,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:26
Aceituna negra sin hueso,,184,1.2,3.2,20,0,0,pieza,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:27
Aceituna verde con hueso,,184,1.2,3.2,20.4,0,0,pieza,4.17,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:28
Aceituna verde sin hueso,,183.3333,1.25,3.3333,20,0,0,pieza,3,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:29
Aceitunas rellenas de anchoa,,184,2.4,3.2,18,0,0,pieza,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:30
Aceitunas rellenas de pimiento,,125.7143,0,7.4286,10,0,0,pieza,5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:31
Acelga cruda,,22.449,2.2449,4.3878,0.102,3.6735,0,taza,49,SMAE 2014,SMAE2014:VERDURAS:4
Acelga picada cocida,,26.3889,2.6389,5.4167,0.1389,2.9167,0,taza,144,SMAE 2014,SMAE2014:VERDURAS:5
Achiote,,250,12.5,52.5,2.5,0,0,cucharada,16,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:4
Acociles,,105.7143,21.1429,2.5714,1.4286,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:5
Activia natural,,90,3.7333,9.9333,3.9333,0,0,pieza,150,SMAE 2014,SMAE2014:LECHE_ENTERA:4
Activia natural bebible,,68,2.6,7.96,3.04,0,0,pieza,250,SMAE 2014,SMAE2014:LECHE_ENTERA:5
Activia natural sólido,,90,3.7333,9.9333,3.9333,0,0,pieza,150,SMAE 2014,SMAE2014:LECHE_ENTERA:6
Aderezo,,106.6667,0,4.6667,10,0,0,cucharada,15,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:32
Aderezo blue cheese,,475,5,7.5,48.75,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:33
Aderezo blue cheese bajo en calorias,,143.3333,2.8333,17.3333,25,0,0,cucharada,15,SMAE 2014,SMAE2014:AZUCARES_CON_GRASA:4
Aderezo con queso y ajo,,412.5,0,2.5,47.5,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:34
Aderezo cremoso,,475,5,7.5,48.75,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:35
Aderezo de ciruela pasas,,487.5,1.25,13.75,48.75,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:36
Aderezo de hierbas finas,,387.5,1.25,10,40,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:37
Aderezo de mayonesa,,728.5714,1.4286,4.2857,77.1429,0,0,cucharada,14,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:38
Aderezo de miel,,109.375,3.9063,16.7188,3.75,0,0,cucharada,16,SMAE 2014,SMAE2014:AZUCARES_CON_GRASA:5
Aderezo de miel y mostaza,,450,0,12.5,45,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:39
Aderezo de miel y mostaza bajo calorias,,142.2222,2.8889,31.3333,4,0,0,cucharada,15,SMAE 2014,SMAE2014:AZUCARES_CON_GRASA:6
Aderezo francés,,400,0,16.25,38.75,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:40
Aderezo fránces bajo en calorías,,131.6667,0,21.8333,5.6667,0,0,cucharada,15,SMAE 2014,SMAE2014:AZUCARES_CON_GRASA:7
Aderezo italiano,,437.5,1.25,10,45,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:41
Aderezo italiano bajo en calorías,,106.6667,0,4.6667,10,0,0,cucharada,15,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:42
Aderezo italiano cremoso,,350,0,10,35,0,0,cucharada,16,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:43
Aderezo italiano cremoso bajo en calorías,,66.6667,3.3333,10,3.6667,0,0,cucharada,15,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS:44
