name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Amaranto Harina Reventada,,384,14.8,68.1,6.7,3.2,4.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),1786
Amaranto Hoja,,59.86,5.57,7.46,0.86,2.35,79.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),1787
Amaranto Mazapan Con Cacahuate,,511.47,19.43,39.88,30.47,2.49,2.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1788
Amaranto Oblea,,379.03,9.67,84.66,0.19,1.69,2.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),1789
Amaranto Palanqueta,,393.5,8.3,81.3,3.9,2.3,2.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),1790
Amaranto Palanqueta,,432.4,12.1,68.1,12.4,3.1,2.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),1791
Amaranto Palanqueta,,368,8.3,80.1,1.6,4.8,3.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),1792
Amaranto Palanqueta,,407,9.2,71.3,12.5,1.9,2.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),1793
Amaranto Palanqueta,,396,9,73.9,8.7,2.4,4.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),1794
Amaranto Palanqueta,,392.18,6.55,79.66,5.26,0.2,6,,,INCMNSZ/CONABIO 2019 (fibra bruta),1795
Amaranto Panqué,,407.11,8.9,46.91,20.43,0.14,22.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),1797
Amaranto Pepitoria,,401.76,9.93,78.18,5.48,0.92,4.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),1796
"Amaranto Polvo Para Malteada Con Amaranto, Sabor Chocolate",,407,8.72,79.78,5.28,1.63,2.39,,,INCMNSZ/CONABIO 2019 (fibra bruta),1799
Amaranto Procesado,,383,10.9,74.9,4.4,3.9,3,,,INCMNSZ/CONABIO 2019 (fibra bruta),1800
Amaranto Reventado Al 100%,,411.73,13.74,71.35,7.93,3.27,0.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),1802
Amaranto Reventado Al 50%,,368.33,14.86,63.34,6.17,6.31,3,,,INCMNSZ/CONABIO 2019 (fibra bruta),1803
Amaranto semilla,,365.34,7.11,78.96,2.34,1.72,8.1,,,INCMNSZ/CONABIO 2019 (fibra bruta),1779
Amaranto Solo,,425.4,16.6,63.2,11.8,2.9,3,,,INCMNSZ/CONABIO 2019 (fibra bruta),1804
"Amaranto, Alegria Con Cacahuate",,409.35,9.48,75.15,7.87,4.07,2,,,INCMNSZ/CONABIO 2019,1755
"Amaranto, Alegria Con Chocolate",,409.62,6.23,76.96,8.54,10.95,2,,,INCMNSZ/CONABIO 2019,1756
"Amaranto, Botana Extrudida En Forma De Churrito",,481.99,10.33,53.94,24.99,2.52,4.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),1762
"Amaranto, Cereal Para Desayuno, Hojuela Con Chocolate",,466.64,7.97,68.9,17.66,0,3,,,INCMNSZ/CONABIO 2019 (fibra bruta),1764
Angu (Quimbombo),,49,2.31,12.12,0.2,1.17,83,,,INCMNSZ/CONABIO 2019 (fibra bruta),3508
Antojitos Cemita De Jamón,,174,7.14,19.83,7.34,0.38,63.18,,,INCMNSZ/CONABIO 2019 (fibra bruta),3075
Antojitos Cemita De Milanesa,,282,13.44,23.04,15.16,0.5,45.46,,,INCMNSZ/CONABIO 2019 (fibra bruta),3076
Antojitos Chalupas,,172,5.8,17.84,8.59,0.58,66.31,,,INCMNSZ/CONABIO 2019 (fibra bruta),3077
Antojitos Chanclas O Pambazos,,131,4.5,12.2,7.16,1.08,72.47,,,INCMNSZ/CONABIO 2019 (fibra bruta),3078
Antojitos Crepas Poblanas,,216,13.85,8.04,14.31,0.39,63.41,,,INCMNSZ/CONABIO 2019 (fibra bruta),3079
Antojitos Gordita de Chicharrón,,306.6,12.69,23.64,14.09,0.57,47,,,INCMNSZ/CONABIO 2019 (fibra bruta),3080
Antojitos Gordita De Chicharrón,,382.19,17.14,24.36,20.24,0.26,35.6,,,INCMNSZ/CONABIO 2019 (fibra bruta),3081
Antojitos Gordita De Chicharrón,,446.06,14.3,25.2,18.33,0.44,39.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3082
Antojitos Gordita De Chicharrón,,339.69,20.95,25.46,13.31,0.75,38,,,INCMNSZ/CONABIO 2019 (fibra bruta),3083
Antojitos Gordita De Chicharrón,,289.21,9.66,24.74,17.35,0.5,46.2,,,INCMNSZ/CONABIO 2019 (fibra bruta),3084
Antojitos Gordita De Chicharrón,,234.93,8.75,23.81,10.3,0.44,53.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3085
Antojitos Gordita De Chicharrón,,370.44,12,27.07,21.93,0.38,36,,,INCMNSZ/CONABIO 2019 (fibra bruta),3086
Antojitos Gordita De Chicharrón,,328.92,13.91,20.5,17.6,0.48,45.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3087
Antojitos Gordita De Chicharrón,,286.31,11.72,24.23,11.66,0.49,49.9,,,INCMNSZ/CONABIO 2019 (fibra bruta),3088
Antojitos Gordita De Chicharrón,,386.14,16.4,29.34,17.67,0.23,35,,,INCMNSZ/CONABIO 2019 (fibra bruta),3089
Antojitos Mejoralitos,,225,3.36,24.88,12.42,1.18,58.32,,,INCMNSZ/CONABIO 2019 (fibra bruta),3090
Antojitos Memelas,,182,3.4,28.33,6.07,0.78,61.42,,,INCMNSZ/CONABIO 2019 (fibra bruta),3091
Antojitos Memelas,,196,3.89,30.74,6.39,1.02,57.96,,,INCMNSZ/CONABIO 2019 (fibra bruta),3092
Antojitos Molotes,,221,3.18,12.81,17.42,0.47,64.95,,,INCMNSZ/CONABIO 2019 (fibra bruta),3093
Antojitos Pambazo De Papa Y Chorizo,,209.42,4.83,29.42,6.51,0.07,57.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3094
Antojitos Pambazo De Papa Y Chorizo,,222.46,4.36,24.65,9.26,0.4,59.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3095
Antojitos Pambazo De Papa Y Chorizo,,175.4,4.82,25.18,4.46,0.28,63.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3096
Antojitos Pambazo De Papa Y Longaniza,,245.32,5.87,27.87,10.58,0.13,53.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3097
Antojitos Pambazo De Pollo,,183.28,10.26,20.45,3.87,0,63.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3098
Antojitos Pambazo De Pollo,,184.61,9.47,16.25,6.21,0.34,65.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3099
Antojitos Pambazo De Pollo,,262.84,15.26,20.23,9.64,0.11,53.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3100
Antojitos Pambazo De Pollo,,184.23,8.08,20.4,6.17,0.08,63.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3101
Antojitos Pambazo De Pollo,,240.69,10.22,21.13,10.47,0.11,56.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3102
Antojitos Pambazo De Pollo (Tinga),,205.75,7.95,21.67,6.99,0.23,61.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3103
Antojitos Quesadilla De Champiñón,,166.93,3.88,24.05,5.13,0.3,65.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3105
Antojitos Quesadilla De Champiñón,,214.74,3.93,21.71,12.48,0.49,60,,,INCMNSZ/CONABIO 2019 (fibra bruta),3106
Antojitos Quesadilla De Champiñón,,148.83,5.89,25.84,2.88,1.2,62.5,,,INCMNSZ/CONABIO 2019 (fibra bruta),3107
Antojitos Quesadilla De Champiñón,,161.29,3.85,25.73,3.38,1.05,64.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3108
Antojitos Quesadilla De Champiñón,,221.71,4.38,25.53,9.78,2.15,56.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3109
Antojitos Quesadilla De Champiñón,,157.21,4.23,22.39,3.5,1.07,67.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3110
Antojitos Quesadilla De Hongos,,263.7,10.12,21.92,11.45,0.36,53.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3111
Antojitos Quesadilla De Hongos,,177.33,4.56,21.06,9.7,0.48,61.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3112
Antojitos Quesadilla De Hongos,,186.69,3.8,23.17,5.77,0.82,64.7,,,INCMNSZ/CONABIO 2019 (fibra bruta),3113
Antojitos Quesadilla De Hongos Con Queso,,226.5,4.47,22.38,12.1,0.45,58.3,,,INCMNSZ/CONABIO 2019 (fibra bruta),3114
Antojitos Quesadilla De Papa,,168.06,3.89,29.58,3.15,0.61,61,,,INCMNSZ/CONABIO 2019 (fibra bruta),3115
Antojitos Quesadilla De Papa,,160.51,3.62,28.2,2.84,0.78,63.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3116
Antojitos Quesadilla De Papa,,288.84,2.99,20.97,19.19,0.21,55.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3117
Antojitos Quesadilla De Papa,,257.01,4.44,36.43,8.48,0.51,48.8,,,INCMNSZ/CONABIO 2019 (fibra bruta),3118
Antojitos Quesadilla De Papa,,167.6,3.35,22.23,5.9,0.71,66.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3119
Antojitos Quesadilla De Papa,,186.3,3.41,31.1,5.07,0.33,59,,,INCMNSZ/CONABIO 2019 (fibra bruta),3120
Antojitos Quesadilla De Papa,,160.15,3.04,26.55,2.55,0.79,65.4,,,INCMNSZ/CONABIO 2019 (fibra bruta),3121
Antojitos Quesadilla De Papa Con Queso Manchego,,275.41,9.04,27.79,12.31,0.19,48,,,INCMNSZ/CONABIO 2019 (fibra bruta),3122
