name,brand,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water_per_100g,portion_name,portion_grams,source,external_id
Patitas de cerdo encurtidas sin hueso,,139.2157,11.5686,0,10,0,0,,,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:42
Pato de crianza,,130.7692,18.2051,0,5.8974,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:97
Pavo,,158.3333,20.2778,0,7.7778,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:98
Pavo entero,,158.3333,20.2778,0,7.7778,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:99
Pay de calabaza,,242.2222,4,34.8889,9.7778,1.7778,0,rebanada,45,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:161
Pay de chocolate,,303.3333,2.6667,33.6667,19.3333,2,0,rebanada,30,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:162
Pay de limón con merengue,,268.5714,1.4286,47.1429,8.5714,1.1429,0,rebanada,35,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:163
Pay de manzana,,237.5,2,34,11,1.5,0,rebanada,40,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:164
Pay de nuez,,443.4783,6.5217,60.4348,19.5652,0.8696,0,pieza,69,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:165
Pay de piña,,385.7143,3.5714,53.9286,17.5,0.3571,0,pieza,84,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:166
Pay de queso,,320,5.4286,25.4286,22.5714,0,0,rebanada,35,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:167
Pay helado de limón,,272.5,2.25,32.5,15.25,1.5,0,rebanada,40,SMAE 2014,SMAE2014:CEREALES_CON_GRASA:168
Pecho de res,,205.4054,17.2973,0,14.5946,0,0,,,SMAE 2014,SMAE2014:A_O_A_MODERADOS_EN_GRASA:43
Pechuda de pollo sin pile aplanada,,160,29,0,4,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:172
Pechuga de pavo,,109.375,22.1875,0,1.5625,0,0,rebanada,21.33,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:169
Pechuga de pavo ahumada,,94.1176,19.7059,1.4706,0.8824,0,0,rebanada,22.67,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:170
Pechuga de pavo ahumada bajo en grasa,,78.5714,15,3.5714,0.4762,0,0,rebanada,21,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:171
Pechuga de pollo ahumada,,78.5714,16.4286,2.619,0.2381,0,0,rebanada,21,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:173
Pechuga de pollo con piel,,183.3333,20,0,11,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:100
Pechuga de pollo deshuesada sin piel cruda,,113.3333,23.3333,0,1.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:174
Pechuga de pollo sin piel,,114.8148,23.3333,0,1.4815,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:175
Pechuga de pollo sin piel a la plancha,,160,29,0,4,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:176
Pechuga de pollo sin piel asada,,160,29,0,4,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:177
Pechuga de pollo sin piel cocida,,160,29,0,4,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:178
Pechuga de pollo sin piel cruda,,114.7059,23.2353,0,1.7647,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:179
Pechuga de pollo sin piel en brocheta cruda,,113.3333,23.3333,0,1.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:180
Pechuga de pollo sin piel en fajitas cruda,,113.3333,23.3333,0,1.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:181
Pechuga de pollo sin piel horneada rebanada,,97.619,19.5238,3.8095,0.7143,0,0,rebanada,21,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:182
Pechuga de pollo sin piel molida cruda,,113.3333,23.3333,0,1.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:183
Pechuga sin piel deshebrada,,113.3333,23.3333,0,1.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:184
Pechuga sin piel desmenuzada,,113.3333,23.3333,0,1.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:185
Pechuga sin pile molida,,113.3333,23.3333,0,1.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:186
Peneques,,223.0769,5.7692,47.3077,1.5385,4.6154,0,pieza,13,SMAE 2014,SMAE2014:CEREALES_SIN_GRASA:319
Peperami,,542.1053,21.0526,5.2632,48.9474,0,0,pieza,25.33,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:62
Peperoni,,495,22.5,0,44,0,0,rebanada,2,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:63
Pepinillos crudos,,28.75,1.375,4.125,1.25,0,0,taza,240,SMAE 2014,SMAE2014:VERDURAS:123
Pepinillos dulces,,133.3333,0.6667,35.3333,0.6667,1.3333,0,cuchara,15,SMAE 2014,SMAE2014:VERDURAS:124
Pepino con cáscara rebanado,,15.3846,0.6731,3.6538,0.0962,0.4808,0,taza,104,SMAE 2014,SMAE2014:VERDURAS:125
Pepita limpia,,526.6667,33.3333,13.3333,42.6667,0,0,cucharada,10,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:184
Pepita limpia,,526.6667,33.3333,13.3333,42.6667,0,0,cucharada,10,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:81
Pepitas,,550,25,17.5,46.6667,0,0,pieza,0.2,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:185
Pepitas,,550,25,17.5,46.6667,0,0,pieza,0.2,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:82
Pepitas con cáscara,,538.4615,26.9231,10,43.0769,0,0,cucharada,6.5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:186
Pepitas con cáscara,,538.4615,26.9231,10,43.0769,0,0,cucharada,6.5,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:83
Pepitas de calabaza,,550,30,14.1667,45.8333,0,0,cucharada,8,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:187
Pepitas de calabaza,,550,30,14.1667,45.8333,0,0,cucharada,8,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:84
Pepitas de melón,,550,27.5,15,46.6667,0,0,cucharadita,2.4,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:188
Pepitas de melón,,550,27.5,15,46.6667,0,0,cucharadita,2.4,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:85
Pepitas tostadas,,530.7692,33.0769,13.8462,42.3077,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:189
Pepitas tostadas,,530.7692,33.0769,13.8462,42.3077,0,0,cucharada,13,SMAE 2014,SMAE2014:ACEITES_Y_GRASAS_CON_PROTEINAS:86
Pepsi de dieta,,1.1268,0,0,0,0,0,lata,355,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:155
Pepsi Max,,1.1268,0,0,0,0,0,lata,355,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:156
Pera,,58.0247,0.3704,15.4321,0.1235,3.0864,0,pieza,162,SMAE 2014,SMAE2014:FRUTAS:149
Pera asiática,,41.8803,0.5128,10.5983,0.2564,3.5897,0,pieza,234,SMAE 2014,SMAE2014:FRUTAS:150
Pera bartlett,,58.4416,0.3896,15.5844,0.1299,3.1169,0,pieza,154,SMAE 2014,SMAE2014:FRUTAS:151
Pera d´anjou,,58.0247,0.3704,15.4321,0.1235,3.0864,0,pieza,162,SMAE 2014,SMAE2014:FRUTAS:152
Pera de agua,,58.1081,0.4054,15.4054,0.1351,3.1081,0,pieza,148,SMAE 2014,SMAE2014:FRUTAS:153
Pera de San Juan,,58.0952,0.381,15.5238,0.0952,3.1429,0,pieza,52.5,SMAE 2014,SMAE2014:FRUTAS:154
Pera deshidratada,,255.5556,1.6667,67.7778,0.5556,7.2222,0,orejon,18,SMAE 2014,SMAE2014:FRUTAS:155
Pera en almibar,,57.8947,0.3947,15.3947,0.1316,3.1579,0,pieza,152,SMAE 2014,SMAE2014:FRUTAS:156
Pera mantequilla,,58.5714,0.4286,15.4286,0.1429,3.1429,0,pieza,140,SMAE 2014,SMAE2014:FRUTAS:157
Pera picada,,42,0.5333,10.6667,0.2,3.6,0,taza,150,SMAE 2014,SMAE2014:FRUTAS:158
Pera piña,,57.5,0.375,15.5,0.125,3.125,0,pieza,160,SMAE 2014,SMAE2014:FRUTAS:159
Pera rebanada,,41.8367,0.5102,10.6122,0.2041,3.5714,0,taza,147,SMAE 2014,SMAE2014:FRUTAS:160
Pera roja,,58.0247,0.3704,15.4321,0.1235,3.0864,0,pieza,162,SMAE 2014,SMAE2014:FRUTAS:161
Pera roja rebanada,,57.5,0.375,15.5,0.125,3.125,0,taza,160,SMAE 2014,SMAE2014:FRUTAS:162
Perca cocida,,116.6667,24.6667,0,1.3333,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:187
Perca cruda,,92.1053,19.4737,0,1.0526,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:188
Perca fileteada,,89.4737,19.4737,0,1.0526,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:189
Perejil crudo picado,,36.6667,3,6.3333,0.8333,3.3333,0,taza,60,SMAE 2014,SMAE2014:VERDURAS:126
Perejil deshidratado,,300,20,50,0,0,0,cucharada,3,SMAE 2014,SMAE2014:ALIMENTOS_LIBRES_EN_ENERGIA:157
Perón,,61.9048,0.381,15.9048,0.381,2.0952,0,pieza,105,SMAE 2014,SMAE2014:FRUTAS:163
Perón picado,,62.4,0.4,15.92,0.4,2.08,0,taza,125,SMAE 2014,SMAE2014:FRUTAS:164
Pérsimo,,128,0.8,33.6,0.4,0,0,pieza,25,SMAE 2014,SMAE2014:FRUTAS:165
Pérsimo japonés,,70.2381,0.5952,18.5714,0.2381,3.5714,0,pieza,168,SMAE 2014,SMAE2014:FRUTAS:166
Pescado a la veracruzana,,247.5,0,6,15,0,0,taza,133.33,SMAE 2014,SMAE2014:PLATILLOS_PLATOS_FUERTES:26
Pescado blanco,,133.3333,18.9744,0,5.8974,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:101
Pescado blanco ahumado,,109.375,23.4375,0,0.9375,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:190
Pescado blanco cocido,,173.3333,24.3333,0,7.6667,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:102
Pescado blanco fileteado,,134.2857,19.1429,0,6,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:103
Pescado empapelado,,247.5,0,0,17.5,0,0,pieza,100,SMAE 2014,SMAE2014:PLATILLOS_PLATOS_FUERTES:7
Pescado en trozo,,89.7436,18.7179,0,1.2821,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:191
Pescado entero,,89.7436,18.7179,0,1.2821,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:192
Pescado fileteado,,90,18.75,0,1.25,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:193
Pescado rebenado,,89.7436,18.7179,0,1.2821,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:194
Pescado seco tipo bacalao,,283.3333,61.6667,0,2.5,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:195
Pescuezo de pollo con piel sin hueso,,296.875,14.0625,0,26.25,0,0,pieza,32,SMAE 2014,SMAE2014:A_O_A_ALTO_EN_GRASA:64
Pescuezo de pollo sin piel,,152.6316,17.3684,0,8.6842,0,0,pieza,0.3,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:104
Pescuezo de res,,151.5152,20.303,0,7.2727,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:105
Pez espada cocido,,153.5714,25.3571,0,5,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:196
Pez espada crudo,,119.4444,19.7222,0,3.8889,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:197
Pez espada crudo fileteado,,122.2222,19.7222,0,3.8889,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:198
Pez espada crudo rebanado,,119.4444,19.7222,0,3.8889,0,0,,,SMAE 2014,SMAE2014:A_O_A_MUY_BAJOS_EN_GRASA:199
Picadillo,,247.5,0,6,15,0,0,taza,133.33,SMAE 2014,SMAE2014:PLATILLOS_PLATOS_FUERTES:27
Pierna de carnero,,135,19,0,6,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:106
Pierna de cerdo,,140,19.75,0,6.25,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:107
Pierna de cerdo,,140,19.75,0,6.25,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:111
Pierna de cordero,,188.4615,27.6923,0,7.6923,0,0,,,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:108
Pierna de pollo cin piel cocida,,180.7692,25.7692,0,8.0769,0,0,pieza,104,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:109
Pierna de pollo cin piel cruda,,120.9302,20.2326,0,3.7209,0,0,pieza,129,SMAE 2014,SMAE2014:A_O_A_BAJO_EN_GRASA:110
